証券コード,企業名,17業種区分,年度,提出日,docID,EDINETコード,決算期間,売上高,営業利益,当期純利益,総資産,自己資本,流動資産,流動負債,固定資産,負債総額,営業CF,投資CF,財務CF,営業利益率,ROE,ROA,自己資本比率,流動比率,フリーCF,営業CFマージン,売上高成長率,営業利益成長率,当期純利益成長率,売上高(億円),営業利益(億円),当期純利益(億円),総資産(億円),自己資本(億円),流動資産(億円),流動負債(億円),固定資産(億円),負債総額(億円),営業CF(億円),投資CF(億円),財務CF(億円),フリーCF(億円)
9143,ＳＧホールディングス,運輸・物流,2023,2023-06-26,S100R4RK,E32292,有価証券報告書－第17期(2022/04/01－2023/03/31),137941000000.0,135275000000.0,126511000000.0,904955000000.0,567405000000.0,406547000000.0,228923000000.0,498408000000.0,337550000000.0,165385000000.0,28028000000.0,-105469000000.0,98.07,22.3,13.98,62.7,177.59,193413000000.0,119.9,-13.94,-13.13,18.53,1379.41,1352.75,1265.11,9049.55,5674.05,4065.47,2289.23,4984.08,3375.5,1653.85,280.28,-1054.69,1934.13
9143,ＳＧホールディングス,運輸・物流,2024,2024-06-27,S100TWLI,E32292,有価証券報告書－第18期(2023/04/01－2024/03/31),90850000000.0,89204000000.0,58279000000.0,897049000000.0,590261000000.0,397377000000.0,218301000000.0,499672000000.0,306787000000.0,77629000000.0,-41357000000.0,-70310000000.0,98.19,9.87,6.5,65.8,182.03,36272000000.0,85.45,-34.14,-34.06,-53.93,908.5,892.04,582.79,8970.49,5902.61,3973.77,2183.01,4996.72,3067.87,776.29,-413.57,-703.1,362.72
9145,ビーイングホールディングス,運輸・物流,2022,2022-03-31,S100NRBE,E36140,有価証券報告書－第36期(令和3年1月1日－令和3年12月31日),1207000000.0,1117000000.0,851000000.0,14088000000.0,4300000000.0,6617000000.0,5111000000.0,7471000000.0,9787000000.0,1540000000.0,-1234000000.0,-802000000.0,92.54,19.79,6.04,30.52,129.47,306000000.0,127.59,0.0,0.0,0.0,12.07,11.17,8.51,140.88,43.0,66.17,51.11,74.71,97.87,15.4,-12.34,-8.02,3.06
9145,ビーイングホールディングス,運輸・物流,2023,2023-03-31,S100QH1J,E36140,有価証券報告書－第37期(2022/01/01－2022/12/31),1376000000.0,1301000000.0,873000000.0,14562000000.0,5105000000.0,6711000000.0,5861000000.0,7851000000.0,9456000000.0,1269000000.0,-524000000.0,-940000000.0,94.55,17.1,6.0,35.06,114.5,745000000.0,92.22,14.0,16.47,2.59,13.76,13.01,8.73,145.62,51.05,67.11,58.61,78.51,94.56,12.69,-5.24,-9.4,7.45
9145,ビーイングホールディングス,運輸・物流,2024,2024-03-29,S100T60H,E36140,有価証券報告書－第38期(2023/01/01－2023/12/31),1817000000.0,1796000000.0,1123000000.0,16845000000.0,6209000000.0,7651000000.0,7634000000.0,9193000000.0,10636000000.0,1899000000.0,-1598000000.0,161000000.0,98.84,18.09,6.67,36.86,100.22,301000000.0,104.51,32.05,38.05,28.64,18.17,17.96,11.23,168.45,62.09,76.51,76.34,91.93,106.36,18.99,-15.98,1.61,3.01
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,運輸・物流,2023,2023-03-31,S100QHYM,E36706,有価証券報告書－第1期(2022/01/01－2022/12/31),85221000000.0,83983000000.0,108318000000.0,603669000000.0,429753000000.0,79229000000.0,49777000000.0,524440000000.0,173916000000.0,241107000000.0,14936000000.0,-120491000000.0,98.55,25.2,17.94,71.19,159.17,256043000000.0,282.92,0.0,0.0,0.0,852.21,839.83,1083.18,6036.69,4297.53,792.29,497.77,5244.4,1739.16,2411.07,149.36,-1204.91,2560.43
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,運輸・物流,2024,2024-03-28,S100T5AK,E36706,有価証券報告書－第2期(2023/01/01－2023/12/31),85221000000.0,83983000000.0,108318000000.0,603669000000.0,429753000000.0,79229000000.0,49777000000.0,524440000000.0,173916000000.0,241107000000.0,14936000000.0,-120491000000.0,98.55,25.2,17.94,71.19,159.17,256043000000.0,282.92,0.0,0.0,0.0,852.21,839.83,1083.18,6036.69,4297.53,792.29,497.77,5244.4,1739.16,2411.07,149.36,-1204.91,2560.43
9158,シーユーシー,情報通信・サービスその他,2023,2023-06-29,S100R9VL,E37214,有価証券報告書－第9期(2022/04/01－2023/03/31),15435000000.0,2461000000.0,2707000000.0,23859000000.0,7375000000.0,9324000000.0,15360000000.0,14535000000.0,16484000000.0,0.0,0.0,0.0,15.94,36.71,11.35,30.91,60.7,0.0,0.0,0.0,0.0,0.0,154.35,24.61,27.07,238.59,73.75,93.24,153.6,145.35,164.84,0.0,0.0,0.0,0.0
9158,シーユーシー,情報通信・サービスその他,2024,2024-06-27,S100TWCD,E37214,有価証券報告書－第10期(2023/04/01－2024/03/31),14290000000.0,1895000000.0,2423000000.0,28392000000.0,8098000000.0,13242000000.0,19496000000.0,15149000000.0,20294000000.0,0.0,0.0,0.0,13.26,29.92,8.53,28.52,67.92,0.0,0.0,-7.42,-23.0,-10.49,142.9,18.95,24.23,283.92,80.98,132.42,194.96,151.49,202.94,0.0,0.0,0.0,0.0
9166,ＧＥＮＤＡ,情報通信・サービスその他,2024,2024-04-26,S100TC50,E38739,有価証券報告書－第6期(2023/02/01－2024/01/31),55697000000.0,5370000000.0,4178000000.0,52141000000.0,19664000000.0,23567000000.0,16892000000.0,28573000000.0,32476000000.0,7602000000.0,-10334000000.0,7960000000.0,9.64,21.25,8.01,37.71,139.52,-2732000000.0,13.65,0.0,0.0,0.0,556.97,53.7,41.78,521.41,196.64,235.67,168.92,285.73,324.76,76.02,-103.34,79.6,-27.32
9168,ライズ・コンサルティング・グループ,情報通信・サービスその他,2024,2024-05-31,S100TJH4,E38895,有価証券報告書－第4期(2023/03/01－2024/02/29),4760074000.0,683862000.0,965843000.0,5654616000.0,2296339000.0,1808897000.0,1206013000.0,3845719000.0,3358276000.0,0.0,0.0,0.0,14.37,42.06,17.08,40.61,149.99,0.0,0.0,0.0,0.0,0.0,47.6,6.84,9.66,56.55,22.96,18.09,12.06,38.46,33.58,0.0,0.0,0.0,0.0
